,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000
-1000,261980.75828847275,229739.64550609924,202129.76019758647,177618.99638938086,151472.24435717476,129081.5753598362,111083.45359139773,99330.92378738112,79960.18948135496,69010.34746768376,59215.24746768376,49409.63988957074,39409.701742945865,39833.9126073806,40066.423088426774,40266.32308842677,40446.243088426774,40566.22308842678,40666.22308842678,40766.22308842678,40866.22308842678
-900,240111.4833627724,208866.9030349097,181617.70427073824,158504.48307882715,134942.85695202625,113353.44545189958,95354.07520889689,84609.27129102731,69211.31559038605,58273.97996953431,48478.87996953432,38654.51737715933,33754.51737715933,34509.701742945865,34933.9126073806,35166.423088426774,35346.34308842677,35466.32308842677,35566.32308842677,35666.32308842677,35766.32308842677
-800,219013.02996607783,188339.212823203,162315.52267445548,141375.47656804608,119027.28278153027,97656.33465087254,80644.81455671485,72851.67357671486,58487.63109330792,47570.12781924548,37775.02781924547,32875.02781924547,27975.027819245475,28854.517377159333,29609.70174294586,30033.912607380596,30246.44308842677,30366.423088426774,30466.423088426774,30566.423088426774,30666.423088426774
-700,198547.18356963637,169112.60455579485,145246.3750724626,125495.44706564164,103394.18267441701,83029.02585378871,68955.59547245619,62140.49547245618,47855.7823762064,36958.13281998755,32058.13281998755,27158.13281998755,22258.13281998755,23075.027819245475,23954.517377159333,24709.70174294586,25113.932607380597,25266.523088426773,25366.523088426773,25466.523088426773,25566.523088426773
-600,179391.88492008974,152134.59006412321,129448.7650195367,109909.90980300034,88838.25719110282,71434.99897805114,58343.57910214395,51528.47910214395,37323.18087726854,31340.498815670995,26440.498815670995,21540.498815670995,16640.498815670995,17358.13281998755,18175.027819245475,19054.517377159333,19757.111261899685,20003.57068319589,20103.57068319589,20203.57068319589,20303.57068319589
-500,162055.33916059497,136193.7107463981,113906.65259058798,95205.9856553885,76728.85226533748,60722.664632214444,47830.831321049685,41015.73132104968,30805.983074659518,25822.232768529582,20922.232768529582,16022.232768529582,11122.232768529582,11740.498815670997,12458.132819987548,13275.027819245475,14008.057955863127,14271.273576714859,14371.273576714859,14471.273576714859,14571.273576714859
-400,145482.44062717885,120625.66180602825,98698.47210888712,81383.7678006785,65501.2442465053,50305.29146125805,37417.421013061976,31581.341013061974,25367.31978854224,20403.403631404748,15503.40363140475,10603.40363140475,10603.40363140475,11122.232768529582,11740.498815670997,12458.132819987548,13275.027819245475,14008.057955863127,14271.273576714859,14371.273576714859,14471.273576714859
-300,129751.36122098312,105469.82563103404,84763.38365116384,69617.02910143425,54959.75387670443,39987.39513278927,28082.58948241231,25183.56948241231,20027.904853862336,15084.232930053735,10184.232930053735,10184.232930053735,10184.232930053735,10603.40363140475,11122.232768529582,11740.498815670997,12458.132819987548,13275.027819245475,14008.057955863127,14271.273576714859,14371.273576714859
-200,114667.35321717546,91626.15787777184,73079.11844312728,59123.33889180892,44713.94632947487,30747.99745453539,21783.988696724842,19863.988696724842,14789.30100149044,9864.332243679892,9864.332243679892,9864.332243679892,9864.332243679892,10184.232930053735,10603.40363140475,11122.232768529582,11740.498815670997,12458.132819987548,13275.027819245475,14008.057955863127,14271.273576714859
-100,100894.41718938811,80033.79544513498,62669.37223389279,48925.1452026506,35544.60410892403,24545.62907768184,16565.62907768184,14645.629077681839,9645.75404643965,9645.75404643965,9645.75404643965,9645.75404643965,9645.75404643965,9864.332243679892,10184.232930053735,10603.40363140475,11122.232768529582,11740.498815670997,12458.132819987548,13275.027819245475,14008.057955863127
